name,source,gender,wikidata,type
Agnes-Gosche-Straße,wikidata,F,Q394528,way
Anna-Schubring-Straße,wikidata,F,Q63485803,way
Annenstraße,wikidata,F,Q164294,way
Bertha-von-Suttner-Platz,wikidata,F,Q18456,way
Betty-Heimann-Straße,wikidata,F,Q106086,way
Charlotte-Unzer-Straße,wikidata,F,Q1458154,way
Charlottenstraße,wikidata,F,Q57674,way
Clara-Zetkin-Straße,wikidata,F,Q75823,way
Dorothea-Erxleben-Straße,wikidata,F,Q62931,way
Ellen-Weber-Straße,wikidata,F,Q30103082,way
Elsa-Brändström-Straße,wikidata,F,Q469673,way
Käthe-Kollwitz-Straße,wikidata,F,Q142472,way
Maria-Likarz-Weg,wikidata,F,Q1896091,way
Ottilie-Metzger-Weg,wikidata,F,Q91841,way
Adam-Kuckhoff-Straße,wikidata,M,Q87850,way
Adolf-von-Harnack-Straße,wikidata,M,Q164699,way
Adolph-Menzel-Straße,wikidata,M,Q164961,way
Albert-Dehne-Straße,wikidata,M,Q55818673,way
Albert-Ebert-Straße,wikidata,M,Q1338489,way
Albert-Einstein-Straße,wikidata,M,Q937,way
Albert-Klotz-Straße,wikidata,M,Q1388117,way
Albert-Roth-Straße,wikidata,M,Q106646519,way
Albert-Schmidt-Straße,wikidata,M,Q55884031,way
Albert-Schweitzer-Straße,wikidata,M,Q49325,way
Albrecht-Dürer-Straße,wikidata,M,Q5580,way
Alfred-Brehm-Weg,wikidata,M,Q155112,way
Alfred-Oelßner-Straße,wikidata,M,Q2645609,way
Alfred-Reinhardt-Straße,wikidata,M,Q106580631;Q2645727,way
Alfred-Schneider-Straße,wikidata,M,Q106646739,way
Andersenstraße,wikidata,M,Q5673,way
Anton-Russy-Straße,wikidata,M,Q106646765,way
Arnold-Zweig-Straße,wikidata,M,Q75868,way
August-Bebel-Platz,wikidata,M,Q76520,relation
August-Bebel-Straße,wikidata,M,Q76520,way
August-Kekulé-Straße,wikidata,M,Q76784,way
August-Lamprecht-Straße,wikidata,M,Q106522352,way
Balkeweg,wikidata,M,Q106646874,way
Bartholomäusberg,wikidata,M,Q43982,way
Beethovenstraße,wikidata,M,Q255,way
Bernhardystraße,wikidata,M,Q75982,way
Bertolt-Brecht-Weg,wikidata,M,Q38757,way
Bertramstraße,wikidata,M,Q23041707,way
Beyschlagstraße,wikidata,M,Q88748,way
Blücherstraße,wikidata,M,Q153522,way
Brahmsbogen,wikidata,M,Q7294,way
Brentanostraße,wikidata,M,Q57235,way
Brucknerstraße,wikidata,M,Q81752,way
Buddestraße,wikidata,M,Q1613184,way
Bugenhagenstraße,wikidata,M,Q77260,way
Calvinstraße,wikidata,M,Q37577,way
Camillo-Irmscher-Straße,wikidata,M,Q106647138,way
Cansteinstraße,wikidata,M,Q103322,way
Carl-Crodel-Weg,wikidata,M,Q313995,way
Carl-Robert-Straße,wikidata,M,Q75138,way
Carl-Schorlemmer-Ring,wikidata,M,Q106672,way
