name,source,gender,wikidata,type
Aalweg,wikidata,,Q212239,way
Agavenweg,wikidata,,Q155874,way
"Akener Bogen",wikidata,,Q417336,way
"Am Hechtgraben",wikidata,,Q1592923,way
"Apoldaer Straße",wikidata,,Q490689,way
"Ascherslebener Straße",wikidata,,Q486991,way
"Ballenstedter Straße",wikidata,,Q50886,way
"Benkendorfer Straße",wikidata,,Q701270,way
"Bennstedter Straße",wikidata,,Q701140,way
"Berliner Chaussee",wikidata,,Q64,way
"Berliner Straße",wikidata,,Q64,way
"Bitterfelder Straße",wikidata,,Q836932,way
Bootsweg,wikidata,,Q1420024,way
"Brachwitzer Straße",wikidata,,Q672909,way
"Braunschweiger Bogen",wikidata,,Q2773,way
"Brehnaer Straße",wikidata,,Q119311,way
"Budapester Straße",wikidata,,Q1781,way
"Bukarester Straße",wikidata,,Q19660,way
"Burgliebenauer Weg",wikidata,,Q1015128,way
"Coimbraer Straße",wikidata,,Q45412,way
Dachsweg,wikidata,,Q27066,way
"Dessauer Platz",wikidata,,Q487070,way
"Dessauer Straße",wikidata,,Q487070,way
"Dölauer Straße",wikidata,,Q1271042,way
"Döllnitzer Weg",wikidata,,Q956694,way
"Dörstewitzer Weg",wikidata,,Q1271448,way
Dreizahnstraße,wikidata,,Q1258229,way
"Dresdener Straße",wikidata,,Q1731,way
Eichelweg,wikidata,,Q12004,way
"Eisenberger Straße",wikidata,,Q486568,way
"Eislebener Straße",wikidata,,Q484870,way
Elsterblick,wikidata,,Q44729,way
Elsterstraße,wikidata,,Q44729,way
Farnstraße,wikidata,,Q80005,way
Fischerring,wikidata,,Q331432,way
Fischerstecherstraße,wikidata,,Q896777,way
"Franzensbader Weg",wikidata,,Q756581,way
"Geraer Straße",wikidata,,Q3750,way
"Gernroder Straße",wikidata,,Q518258,way
Gertrud-Bergmann-Weg,wikidata,,,way
"Gothaer Straße",wikidata,,Q6986,way
"Göttinger Bogen",wikidata,,Q3033,way
Granau,wikidata,,Q1743226,way
Grashalmstraße,wikidata,,Q1779223,way
Grasnelkenweg,wikidata,,Q158399,way
"Grazer Straße",wikidata,,Q13298,way
"Grenobler Straße",wikidata,,Q1289,way
Hagebuttenplatz,wikidata,,Q46740,way
"Halberstädter Straße",wikidata,,Q7072,way
"Haldenslebener Weg",wikidata,,Q186557,way
"Hamelner Straße",wikidata,,Q4062,way
Hamsterweg,wikidata,,Q208077,way
"Hanoier Straße",wikidata,,Q1858,way
"Harzgeroder Straße",wikidata,,Q526353,way
Heidekrautweg,wikidata,,Q21737,way
Heidering,wikidata,,Q33370910,way
"Hettstedter Straße",wikidata,,Q50883,way
"Hildesheimer Straße",wikidata,,Q3185,way
"Höhnstedter Straße",wikidata,,Q689571,way
"Holleber Weg",wikidata,,Q1624773,way
Igelweg,wikidata,,Q28257,way
"Ingolstädter Straße",wikidata,,Q3004,way
"Jenaer Straße",wikidata,,Q3150,way
"Jessener Straße",wikidata,,Q554771,way
"Kaiserslauterer Straße",wikidata,,Q3758,way
"Kanenaer Weg",wikidata,,Q1723690,way
Karl-Beyer-Straße,wikidata,,Q1730489,way
"Karlsruher Allee",wikidata,,Q1040,way
Karpfenweg,wikidata,,Q81110,way
"Kasseler Straße",wikidata,,Q2865,way
"Kattowitzer Straße",wikidata,,Q588,way
Kellnerstraße,wikidata,,Q123615405,way
"Kiewer Straße",wikidata,,Q1899,way
Kolkturmring,wikidata,,Q1779223,way
"Kollenbeyer Weg",wikidata,,Q21039656,way
"Köllmer Straße",wikidata,,Q1795720,way
"Korbethaer Weg",wikidata,,Q1784249,way
"Köthener Straße",wikidata,,Q1796771,way
"Kröllwitzer Straße",wikidata,,Q1790626,way
"Küttener Weg",wikidata,,Q697611,way
Lachsweg,wikidata,,Q2796766,way
"Lieskauer Straße",wikidata,,Q702572,way
Lindenweg,wikidata,,Q127849,way
"Lochauer Weg",wikidata,,Q1867313,way
"Lüneburger Bogen",wikidata,,Q3920,way
Lunzbergring,wikidata,,Q1282760,way
"Magdeburger Chaussee",wikidata,,Q1733,way
"Magdeburger Straße",wikidata,,Q1733,way
Magnolienweg,wikidata,,Q157017,way
"Mailänder Höhe",wikidata,,Q490,way
"Mannheimer Straße",wikidata,,Q2119,way
"Marienbader Weg",wikidata,,Q523469,way
"Meisdorfer Straße",wikidata,,Q876084,way
"Merseburger Straße",wikidata,,Q14945,way
"Minsker Straße",wikidata,,Q2280,way
Morlstraße,wikidata,,Q688636,way
"Moskauer Straße",wikidata,,Q649,way
"Mötzlicher Straße",wikidata,,Q1958201,way
"Murmansker Straße",wikidata,,Q1763,way
"Naumburger Straße",wikidata,,Q15986,way
Netzweg,wikidata,,Q271598,way
Nordstraße,wikidata,,Q659,way
"Oebisfelder Weg",wikidata,,Q2014884,way
"Oldenburger Straße",wikidata,,Q2936,way
"Oppiner Straße",wikidata,,Q689946,way
"Osendorfer Straße",wikidata,,Q2125591,way
"Osnabrücker Straße",wikidata,,Q2916,way
"Planenaer Weg",wikidata,,Q1225741,way
"Platz der Einheit",wikidata,,Q56039,way
"Prager Straße",wikidata,,Q1085,way
"Quedlinburger Weg",wikidata,,Q40623,way
"Querfurter Straße",wikidata,,Q518204,way
"Radeweller Straße",wikidata,,Q2125591,way
"Regensburger Straße",wikidata,,Q2978,way
"Reideburger Landstraße",wikidata,,Q2139903,way
"Reideburger Straße",wikidata,,Q2139903,way
Reusenweg,wikidata,,Q952443,way
"Rockendorfer Weg",wikidata,,Q2160625,way
"Roßlauer Straße",wikidata,,Q822148,way
"Saalfelder Straße",wikidata,,Q155984,way
Salzbinsenweg,wikidata,,Q159255,way
"Salzmünder Straße",wikidata,,Q699133,way
Schafschwingelweg,wikidata,,Q2229999,way
"Schieloer Straße",wikidata,,Q703846,way
"Schkopauer Weg",wikidata,,Q526388,way
"Schleizer Straße",wikidata,,Q506738,way
"Schlettauer Weg",wikidata,,Q21039584,way
"Schönebecker Straße",wikidata,,Q114625,way
Schulhof,wikidata,,Q3914,way
"Seebener Straße",wikidata,,Q1564113,way
"Sennewitzer Landstraße",wikidata,,Q1243845,way
"Soltauer Straße",wikidata,,Q504754,way
"Sonneberger Straße",wikidata,,Q499278,way
"St. Petersburger Straße",wikidata,,Q656,way
"Staßfurter Straße",wikidata,,Q525409,way
"Stendaler Straße",wikidata,,Q7082,way
"Stolberger Straße",wikidata,,Q686386,way
"Suhler Straße",wikidata,,Q14891,way
"Teutschenthaler Landstraße",wikidata,,Q538873,way
"Thaler Weg",wikidata,,Q506460,way
"Tiranaer Straße",wikidata,,Q19689,way
"Trothaer Straße",wikidata,,Q1352498,way
"Trothaer Weg",wikidata,,Q1352498,way
"Turiner Eck",wikidata,,Q495,way
Vogesenstraße,wikidata,,Q187843,way
Waldmeisterstraße,wikidata,,Q161090,way
"Warschauer Straße",wikidata,,Q270,way
Weidenkätzchenweg,wikidata,,Q36050,way
"Weißenfelser Straße",wikidata,,Q14815,way
"Wernigeröder Straße",wikidata,,Q15982,way
"Wiener Straße",wikidata,,Q1741,way
"Wippraer Weg",wikidata,,Q701343,way
"Wolfener Straße",wikidata,,Q685939,way
"Wolfsburger Straße",wikidata,,Q3014,way
"Wörmlitzer Straße",wikidata,,Q2266676,way
Zapfenweg,wikidata,,Q2653441,way
"Zeitzer Straße",wikidata,,Q16087,way
Zenkerstraße,wikidata,,Q37575710,way
